1402314952833212416,AsasinX1,1393232806634041344,2021-06-08 17:21:53+00:00,2021-06-08 17:21:53+00:00,"RT @Selda59100235: $ASS WE LOVE YOU #ASS 

 #Travala #Crypto #Australiansafeshepherd #Asstoken #Asscoin #Assfinance $ASS #binancesmartchai...","['ASS', 'Travala', 'Crypto', 'Australiansafeshepherd', 'Asstoken', 'Asscoin', 'Assfinance']",,http://pbs.twimg.com/profile_images/1400456292330659843/_3SLQqtB_normal.jpg,,,0,False,116,Fri May 14 15:53:00 +0000 2021,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"
1402314953634115591,OrangDa86934947,1391626044990312449,2021-06-08 17:21:53+00:00,2021-06-08 17:21:53+00:00,"RT @AirdropStario:  Kiviu Token Airdrop

 Listed on: PancakeSwap

 Task:            Up to 250 KIV (~$1)

 Referral:    25 KIV (~...",[],,http://pbs.twimg.com/profile_images/1391626329141829632/_BtaNyh8_normal.jpg,,,0,False,4,Mon May 10 05:28:10 +0000 2021,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"
1402314956440326152,GrardGuillaume9,1386692336671936517,2021-06-08 17:21:54+00:00,2021-06-08 17:21:54+00:00,"RT @StarCashBSC: 816 Billion. StarCA$H HAS BEEN BURNED! 

WE TOLD YOU THAT WE ARE NOT JOKING AROUND! 

Join our telegram: https://t.co/oD...",[],,http://pbs.twimg.com/profile_images/1386757398866563076/CYDT63wt_normal.jpg,,,0,False,9,Mon Apr 26 14:43:23 +0000 2021,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>"
1402314959703379971,VovaVladimiroff,1386629392277942275,2021-06-08 17:21:54+00:00,2021-06-08 17:21:54+00:00,"RT @QuantumLeapers: QUANTUM Whitelist Event is Now Open

 Active Until June, 5PM UTC

 Total Whitelist Spot: 500

 Market Capitalization...",[],,http://pbs.twimg.com/profile_images/1386629591427596288/BsOJT-0Q_normal.jpg,,,0,False,5,Mon Apr 26 10:33:26 +0000 2021,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
1402314959900622858,Mehdi19025886,1377163065393770496,2021-06-08 17:21:54+00:00,2021-06-08 17:21:54+00:00,"@niyaidin @defi_sunio @justinsuntron @binance OMG , I am tired of explaining this fact to everyone that #FEG is wha... https://t.co/qsJkjUSQWI",['FEG'],,http://pbs.twimg.com/profile_images/1399277974457888771/7kY9D5Pp_normal.jpg,,,0,False,52,Wed Mar 31 07:37:39 +0000 2021,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"
1402314962232504321,Rachel33999214,1396738216368087042,2021-06-08 17:21:55+00:00,2021-06-08 17:21:55+00:00,"RT @iMiningInc: Cardano is currently the fifth-largest cryptocurrency by market cap. There are nearly 32 billion ADA in circulation, which...",[],,http://pbs.twimg.com/profile_images/1396738375764176904/75ScEro1_normal.jpg,,,0,False,3,Mon May 24 08:02:06 +0000 2021,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>"
1402314970055032838,tA2kpBi0Ii7IlT8,1387449694566105088,2021-06-08 17:21:57+00:00,2021-06-08 17:21:57+00:00,"RT @QuantumLeapers: QUANTUM Whitelist Event is Now Open

 Active Until June, 5PM UTC

 Total Whitelist Spot: 500

 Market Capitalization...",[],,http://pbs.twimg.com/profile_images/1387450136721338369/xri1kxyN_normal.jpg,,,0,False,20,Wed Apr 28 16:52:53 +0000 2021,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>"
1402314977101426689,TheRealAirnova,2794500815,2021-06-08 17:21:58+00:00,2021-06-08 17:21:58+00:00,RT @ja_nien: #Holochain and asset backed #Crypto #Hot #Holo #HoloFuel #cryptocurrency #HODL #Bitcoin #ethereum #DiamondHands #BNB #Safemoon...,"['Holochain', 'Crypto', 'Hot', 'Holo', 'HoloFuel', 'cryptocurrency', 'HODL', 'Bitcoin', 'ethereum', 'DiamondHands', 'BNB', 'Safemoon']",,http://pbs.twimg.com/profile_images/1040632680784822272/s_UwNyOk_normal.jpg,Sydney Nova Scotia,,0,False,1226,Tue Sep 30 12:33:42 +0000 2014,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
1402314977344638985,bestws4u,2231914740,2021-06-08 17:21:59+00:00,2021-06-08 17:21:59+00:00,"@niyaidin @defi_sunio @justinsuntron @binance OMG , I am tired of explaining this fact to everyone that #FEG is wha... https://t.co/qXrU9Pf73o",['FEG'],,http://pbs.twimg.com/profile_images/1395105758874939400/fiVgAtIj_normal.jpg,,,0,False,128,Thu Dec 05 19:17:09 +0000 2013,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>"
1402314978569424898,bestws4u,2231914740,2021-06-08 17:21:59+00:00,2021-06-08 17:21:59+00:00,"@niyaidin @defi_sunio @justinsuntron @binance OMG , I am tired of explaining this fact to everyone that #FEG is wha... https://t.co/WdSe4rycxZ",['FEG'],,http://pbs.twimg.com/profile_images/1395105758874939400/fiVgAtIj_normal.jpg,,,0,False,128,Thu Dec 05 19:17:09 +0000 2013,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>"
